0	26.7
10	30.1
20	47.6
30	63.3
40	78.6
50	91.6
60	103.7
70	113.7
80	122.3
90	130.6
100	137.6
110	143.2
120	148.2
130	153.1
140	162.3
150	163.4
160	166.9
170	170.1
180	173.6
190	192.8
200	199.9
210	203.8
220	206.2
230	208.3
240	210.1
250	211.9
260	213.6
270	215.3
280	216.7
290	218.2
300	219.6
310	221.1
320	222.5
330	223.7
340	225
350	226.1
360	227.3
370	228.4
380	229.5
390	230.4
400	231.1
410	233
420	233.9
430	234.8
440	235.4
450	236.2
460	236.9
470	237.7
480	238.3
490	238.8
500	239.1
510	239.5
520	240.1
530	240.6
540	241.1
550	241.8
560	242.3
570	242.9
580	243.4
590	243.6
600	243.8
610	244.1
620	244.4
630	244.8
640	245.2
650	245.6
660	246.1
670	246.6
680	246.9
690	247.1
700	247.1
710	247.3
720	247.5
730	247.9
740	248.2
750	248.6
760	248.9
770	249.3
780	249.6
790	249.6
800	249.7
810	249.9
820	250
830	250.4
840	250.6
850	251
860	251.3
870	251.6
880	251.6
890	251.6
900	251.7
